overall,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,image,style
5,,True,"12 7, 2016",A26HO01PDWN6O5,0020232233,Amazon Customer,Works very well,Five Stars,1481068800,,
5,,True,"11 5, 2016",A8PF4X87CS3ZZ,0020232233,B. Felkins,Can't wait to use it!,Love the map!,1478304000,,
5,2,False,"11 4, 2016",A28QGCUNS22JPH,0020232233,Daniel Gabriel Horton,This is a campaign specific DM screen meant to work with The Storm Kings Thunder adventure.  It is not a general use screen.  The reason I'm  giving it 5 stars is that every named place on the map also has the page number of locations entry in TSKT. That feature has saved me time in Adventures League play. Other AL DMs will tell you how precious every minute is in the standard 2 hour format.,Not a general DM screen,1478217600,,
2,3,False,"04 24, 2017",A2X2RJWNAV4FM0,038536539X,J Person,"This is one of the worst games I have ever played.  You basically have to come up with puns on the spot.  Not only are puns generally pretty bad, you have to generate puns that are worse than your run of the mill groaners.  I can't imagine many people enjoying it, but it is slow paced and generally does not generate any level of enjoyment unless you're very skilled with the English language.",Very weak game,1492992000,,
2,6,True,"04 17, 2017",A1DIRJ8YNI5TKL,038536539X,ZacWolf,"It sounded like a really amazing concept, but when we tried to play it, it fell completely flat. Maybe if we were fans of the television show that the game is originally based upon? But having no ""prior experience"", we tried three rounds (even using the ""hints"" to get people started) and everyone just looked at each other and we decided to play something else. This was a high IQ group, and we often use puns in day to day banter, but the game just fell completely flat. :-(

Sad, because the quality of the box set is very nice, and comes with everything needed to play (pads, pencils, etc.).",Fell completely flat...,1492387200,,
5,,True,"01 26, 2017",A2G5IDD919P2DK,038536539X,Marcy A. Danenmann,Very fun game for my family,Five Stars,1485388800,,
4,13,False,"03 16, 2004",AGCAAWP1AVVZR,0486277577,M. P. Schiesl,"Pretty good book with a variety of unique card sleights (palming, manipulating cards in the deck, etc.). These sleights are the 'real work', so it will take a little perseverance. Many of these utility sleights are ones that you ought to know if you want to be a card sleight-of-hand worker.
The instructions are generally clear, but sometimes a detail here and there gets a little confusing. There's a fair number of photos showing how to do many of the sleights.
Sometimes a sleight is a little more complicated than it needs to be. My recommendation is to follow the author's steps in slow-motion with a deck of cards in hand. After you are familiar with the overall effect, you can make adjustments based on what your comfortable with. There may also be other newer methods for learning these sleights if you want to invest in newer card sleight instruction (such as the Daryl Encyclopedia of Card Sleights videos, etc.).
Right now, I'm working on the side steal sleight. He gives a T. Nelson Downs version which has some merit, but it is much more complicated than necessary. The author's own version is a little more do-able. But even the author's method becomes a little too fidgety, so I've made minor modifications to make it work well for me. I start in slow-motion, counting through the substeps to keep pace while I do the move (1..2..3..4). Then I repeat it until I can bring it up to full speed.
If you want to learn sleights for cheap, try this book. You may have to pick and choose through the sleights, and there may be better methods to perform some of these sleights now, but it's not bad for under $10.",Good book,1079395200,,{'Format:': ' Paperback'}
5,16,False,"04 28, 2002",AD2CIUI4TSVY7,0486277577,Mark Thomas,"When I unexpectedly came across a picture of Buckley on the first page of the book, and after hearing the other reviews of how difficult and advanced the techniques in the book were, I couldn't believe my eyes. I was surprised to see the face of a handsome teenager, of which my previous impression was COMPLETELY the opposite to the one I held in my hands. And this guy was a professional card magician at the age of 18, and able to do tricks infront of hundreds of people on-stage in 1908!
I have a feeling that this guy's mystery and skill probably gained him significant success with girls his age. The mysterious effects of these difficult to execute sleights are priceless and dazzling beyond belief. If a 3 columns card trick can make girls believe in magic.. then Buckley's stuff probably knocked their socks off... literally! Believe me, this guy would be able to blow David Blaine out of the water and make him look like Bob Longe.
That being said and out of the way, the book itself is amazing. There are very clearcut photos of Buckley's hands and very impressive card tricks, or as he calls them in the fourth section, ""Card Experiments"". Best of all, this book isn't like most others where the authors seem to purposely be vague (S.W. Erdnase) and not give the best descriptions. Mr. Buckley gives you every detail and is your friend throughout the book, showing you exactly how everything is done without any confusion.
And there is SO much different good stuff in here, that you'll probably never need another book for advanced materials.
It is a great book and a great reference to help you on your way to card excellence and showmanship. You will not be disappointed with this purchase.",Buckley was a card mommer,1019952000,,{'Format:': ' Paperback'}
5,14,False,"08 3, 2001",APTEPFKL03QA0,0486277577,Christian A. Fisanick,"If you've mastered Hugard and Braue's stuff, if you can do 60 classic passes per minute, if you have all the time in the world to devote to card sleight of hand, then this is the book for you!  Seriously, this is a truly excellent book.  Buckley's sleights, though not for the faint of heart, are superb.  (He must've been one heckuva cardician!) This is a serious, serious card magic book.  But if you are serious yourself, you'll get it.  Of course, you'll overlook the antiquated prose and Buckley's tremendous ego throughout.  (When you read this material you'll forgive Buckley's self-congratulatory tone.) This is a splendid work for those who want to be the best...","Very advanced, but as good as it gets",996796800,,{'Format:': ' Paperback'}
5,21,False,"10 15, 2000",A14FXEKB1PXTZG,0486277577,Jose Berlin,"I've yet to see a bad review for this book, and there's a reason. This book is terrific. There is however one issue to be addressed. This book is hard!!! Definitely not for beginners, it has some of what I believe are the greatest but hardest card manipulations out there. I definitely recommend it however to the serious card magic enthusiast. There are enough valuable ideas in here to last you a lifetime.",You better know what you're getting into,971568000,,{'Format:': ' Paperback'}
1,2,False,"09 21, 2007",A1X9QQFMPGDW70,0486402029,Justabuyer,"I don't know how well they work, if they're a miracle, they're too expensive for the quantity.  When I opened it, I thought they'd forgotten to send the tatoos.
10 for 3.50 makes this the ultimate ""skimpy product"".",Don't bother,1190332800,,{'Format:': ' Paperback'}
1,2,False,"01 16, 2007",A1NTAPB1XPB6KK,0486402029,Mandible,"These are cute tatoos for those who love pirates, however, the retail price is $1.50 and Amazon's price is MORE THAN DOUBLE.  I have never paid OVER the retail price for an item at Amazon.  I was shocked.  There are only a handful of tatoos, and for 1.50 I wouldn't mind, but to charge 3.50 for an item that sells anywhere else for 1.50 is criminal.  Find it at a local drugstore and save your $.",The worst value I've ever seen,1168905600,,{'Format:': ' Paperback'}
2,2,True,"01 12, 2007",A34S86H4OJGGVR,0486402029,An Aerospace Engineer,"While my 3 year old son liked th tattos you'd think that a few more could be supplied.  I think there were something akin to 8-10 total.  A few more skull and cross bone flags would be nice.

The tattoos did seem to transfer well but didn't last longer or less than most other temporary tattoos.",Not enough product,1168560000,,{'Format:': ' Paperback'}
4,4,False,"01 10, 2007",A2SGKF4BT5NWYO,0486402029,Mauricio De Maria Campos,"There are only few tatoos so in one week they are gone, it could be better if there were more so they can share with brothers or friends. the alternative is to buy like 4 or 5 of these so the kid doesn't get upset when they are gone to quick. Also with one bath they are gone, so they don't last enough like other tatoos (2 TO 5 DAYS).",Good product but...,1168387200,,{'Format:': ' Paperback'}
5,2,True,"11 3, 2006",AVPT4Q2E2PK9O,0486402029,Derrick,"I'd buy again as a gift for a young kid obsessed with pirates.  However, I never actually had any hands-on time with the tattoos.  The tattoos reminded me of my favorite Cracker Jack prize.",Temporary Tattoos were good gift.,1162512000,,{'Format:': ' Paperback'}
5,7,False,"09 20, 2005",A17AF3GZQEKMYC,0486402029,J. Mag,My young son was thrilled to have tattoos just like a real pirate.  These are easy to use and remove.  I great find!,Huge Hit,1127174400,,{'Format:': ' Paperback'}
5,,True,"01 13, 2015",A2GH1A5JGI8PUN,0486427706,Tara,"Gorgeous, I love the book and the pictures are beautiful!",Gorgeous pictures!,1421107200,,{'Format:': ' Paperback'}
5,,True,"08 21, 2014",AOJTIHPYWGGHQ,0486427706,Kindalyn Phelps,Beautiful art work,Five Stars,1408579200,,{'Format:': ' Paperback'}
5,2,True,"08 14, 2014",A38U7ERUZCBOJ5,0486427706,Joanne Philip Battiston,These are intricate designs for older children and adults. This book is full of beautiful designs just waiting to be awakened by your choice of colors. Great for creativity.,Wonderful designs.,1407974400,,{'Format:': ' Paperback'}
5,4,True,"08 7, 2014",A12VWMI909LC3Y,0486427706,sharon wheeler,"This coloring book was so much fun to color.  I love the fact that you can color both sides & blend the colors!!!!  I would recommend this book for anyone that loves Wizards & Dragons & loves to color with fantastic results!!!!!!!!!!
Sharon","WOW, GREAT COLORING BOOK!!!!!!",1407369600,,{'Format:': ' Paperback'}
5,3,True,"10 6, 2013",A2LSCFZM2FBZK7,0486427706,Ginger,The stained glass pages are pretty cool. And it is nice how the black outlines are super dark and thick. And that the dragons aren't all fighting with the wizards.,Nice book,1381017600,,{'Format:': ' Paperback'}
5,9,True,"08 9, 2013",A3IXP5VS847GE5,0486427706,Dragonflies &amp; Autumn Leaves,"My 11 y.o. loved this...and so do I (you know I really bought this because I wanted to see the pictures myself...I'm just lucky enough to have someone I could justify buying it as a present for.)
Dragons and Wizards...says it all!  With the wonderful see-through vellum like pages, that make it ""stained glass.""  Color it with marker, or anything else really (colored pencil, watercolors maybe), and the light shining through the page makes it look luminous and gorgeous!

Even the perfectionist that gets intimidated with art and drawing tends to find these stained glass books easy to get results they are happy with, so it tends to be an enjoyable and confidence building experience. :)",Great pictures,1376006400,,{'Format:': ' Paperback'}
5,,False,"12 25, 2012",A22WPJ8XFBR00Z,0486427706,Douglas B. McFarling,Awesome! My 8 year old's favorite Xmas gift! It's 9:15 am xmas morning and he's already colored three of these!!,Perfect!,1356393600,,{'Format:': ' Paperback'}
5,5,True,"08 18, 2010",AYLMHOQOT0S4N,0486427706,C. Murphy,"This book has wonderful pictures in it, from dragons to wizards. It is much more than just a coloring book. Very pleased and do recommend it for all ages.",Well done....,1282089600,,{'Format:': ' Paperback'}
5,10,False,"09 16, 2008",AJ8YOQ9V6WTQM,0486427706,Kimberely J. Hardy,I loved this book. the pictures are suitable to hang in windows or glass doors and the pictures really reflect the light. I recomend this for all ages who love art.,My relaxation,1221523200,,{'Format:': ' Paperback'}
5,5,True,"02 6, 2007",A1GGAQIGLJ9PJ0,0486427706,A. Freeman,I bought this for my son who loves to draw.  The pictures are simply beautiful and it is a unique way to produce a coloring book.,Beautiful coloring book,1170720000,,{'Format:': ' Paperback'}
5,,True,"04 5, 2016",A1274GG1EB2JLJ,0486427706,barbara ann,"The pictures are great , I've done one and gave it to a friend of mine who likes dragons.","The pictures are great, I've done one and gave it to a ...",1459814400,,{'Format:': ' Paperback'}
5,,True,"03 20, 2016",AY0ZTKGL6YRVP,0486427706,Samantha A.,"Great buy! Can't wait to work on this book. The dragon images are lovely.  Once I'm done coloring, I will frame and hang in a window to let the sun shines through.",Great buy! Can't wait to work on this book,1458432000,,{'Format:': ' Paperback'}
5,3,True,"03 4, 2016",A2UJW1N1C1EWZ1,0486427706,Cassiopeia,"Holy cow! Ok, so we use Sharpies to color, and this book is AMAZING! We color one side, and the colors transform on the other side. It's so cool, even my husband colors! The designs are great (and I'm a snob) and the price is VERY good for such a cool product.",Stained Glass Perfection!,1457049600,,{'Format:': ' Paperback'}
4,,True,"02 18, 2016",A3BUUV7JLOVSF9,0486427706,SF,I gave this as a Christmas present and it seems it went over quite well.,Four Stars,1455753600,,{'Format:': ' Paperback'}
5,3,True,"02 13, 2016",A30X5EGBYAZQQK,0486427706,Samantha,I absolutely love this book! Its translucent paper make it super fun to use. I have been using Paint Brush Markers and Sakura Gel Pens on it with excellent quality. The only thing that I would recommend is a blank white sheet of paper to make the lines easier to see.,So beautiful!,1455321600,,{'Format:': ' Paperback'}
5,,True,"02 2, 2016",A3N2A0YZYWZJ55,0486427706,Phil Pickett,"Wow, great images on vellum, got this for my husband. He used a combination of colored pencil and marker for pictures, they are beautiful.",Great pictures,1454371200,,{'Format:': ' Paperback'}
5,,True,"01 4, 2016",A1FI4XG4R6BCB4,0486427706,MRMoore,Very nice book. Just wished there was more pages. Can't wait too start using it.,Very Nice!,1451865600,,{'Format:': ' Paperback'}
5,,True,"12 10, 2015",A3U6UNXLAUY6ZV,0486427706,CP in Texas,I love it!,Five Stars,1449705600,,{'Format:': ' Paperback'}
5,,True,"11 9, 2015",A11Z603ZIPLVWN,0486427706,Amazon Customer,Absolutely great pictures even before coloring!,Five Stars,1447027200,,{'Format:': ' Paperback'}
5,,True,"11 7, 2015",AO4V4WNNOIO1,0486427706,Menolly,Great purchase and got it in good time.,Five Stars,1446854400,,{'Format:': ' Paperback'}
5,,True,"10 26, 2015",A1SAJF5SNM6WJS,0486427706,LOIS LABIER,MY HUSBAND LOVED IT. HE IS IN TO DRAGONS.,Five Stars,1445817600,,{'Format:': ' Paperback'}
5,,True,"10 17, 2015",A6K7LYRKJDBSC,0486427706,swiftysue,The dragons are really interesting and fun to color.,Five Stars,1445040000,,{'Format:': ' Paperback'}
5,,True,"10 12, 2015",A2HK5AVQW6AUQ5,0486427706,scootergirl1952,love it,Five Stars,1444608000,,{'Format:': ' Paperback'}
4,,True,"09 15, 2015",AHJWO3SI0S0OR,0486427706,Saundra Hatley,cool,Four Stars,1442275200,,{'Format:': ' Paperback'}
3,,True,"09 7, 2015",A3UMI9SLWY2MKA,0486427706,mary frasier,It's fun.,Three Stars,1441584000,,{'Format:': ' Paperback'}
5,77,True,"07 29, 2015",A1LNKKDBF2KOK3,0486427706,M. Downey,"<div id=""video-block-R3BD06E4PUN30"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/B141O4IiwKS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/810gEm9-iYS.png"" class=""video-slate-img-url"">So many times I've purchased something based on liking a sample (books, albums, whatever) then it turns out that the best thing about the item was the sample.  That is not the case with this Wizards and Dragons stained glass coloring book.

I hesitated to buy this coloring book for fear I wouldn't like the majority of the images, but to my pleasant surprise, every page contains an image I like.  So, I'm posted this quick video review for anyone else like myself, who might be considering this item, but is hesitating due to not knowing what all the images are.  Hope this helps someone.",I Like Every Image Contained In This Stained Glass Coloring Book,1438128000,,{'Format:': ' Paperback'}
5,,True,"07 13, 2015",A2Y9ADG1ST9LWT,0486427706,Amazon Customer,It was so cool the way the pages are transparent so that the coloring shows through and can be hung in a window as a stained glass picture.,Creative stained glass pictures,1436745600,,{'Format:': ' Paperback'}
5,,True,"05 24, 2015",ALLSNTNR6N6UL,0486427706,Amazon Customer,"Exactly as described, nice pictures, great transaction, thank you!","nice pictures, great transaction",1432425600,,{'Format:': ' Paperback'}
3,,True,"04 19, 2015",A3UQFJSEAPSO0G,0486427706,Richard D. Chapman,"5 stars for the delivery. Got it in 2 days after I ordered it. Wow!! As for the coloring book itself, the pages are perforated and you can see through them and your crayons/ pencils show through to the other side. Putting cardboard or a thick piece of paper in between the pages will avoid that. Drawings are nice and you can put them in your windows when done. Thus the perforated pages and thin paper.",Drawings are nice and you can put them in your windows when ...,1429401600,,{'Format:': ' Paperback'}
5,,True,"02 18, 2015",A1MWAQOCENQQ5K,0486427706,Robert Cole,Great!,Five Stars,1424217600,,{'Format:': ' Paperback'}
5,10,True,"04 20, 2011",A18MVTKTTE8OS8,0486448789,JudiAU,"Sometimes you need something new and special that gives you 30 minutes of piece. I used these waiting at the dentist or a graduation or something. They are small so they slip into a bag and cheap enough, especially with the 3 for 4 price on amazon.com . The robots and funny faces are a lot of fun. Probably best at 3-4-5 rather than 2 because the stickers are small.

I love all of the great not-licensed-character stuff by Dover.",Great 30 minute toy,1303257600,,{'Format:': ' Paperback'}
5,,False,"04 2, 2011",A2C2TLRMMMLAJV,0486448789,D. Workman,"These little books are great! They are small, but perfect for birthday party favors, which is what we used them for! There is a blank page after each page of stickers, so that's where my kids made their robots. They were a huge hit!",great!,1301702400,,{'Format:': ' Paperback'}
2,4,True,"02 7, 2011",APTGPJM3QRMHT,0486448789,thunification,"This is indeed a small book. This particular ROBOT sticker book was at best, OK.
Why? Well, there's really no space to create multiple robots. Stickers are not easy to remove.
Not recommended unless you just gotta have it to entertain a child. But this may only last ten minutes.
Plus side, small enough to stick in purse for travel.",Only OK ...AT Best,1297036800,,{'Format:': ' Paperback'}
4,,False,"02 11, 2010",AJL8EN4QAFA9K,0486448789,A. V. Richards,I bought several of these as party favors at a robot themed birthday party.  My son really seemed to like it and made a series of different robots.  The only issue is that most of the pages are not such that they stickers can be re-stuck so we really only used most of the configurations once as we made them on regular pages rather than taking pieces on and off the robot at the back of the book.,Fun!,1265846400,,{'Format:': ' Paperback'}
5,,True,"01 30, 2010",A311D6DHG4VFZ9,0486448789,The Z&#039;s,"I was happy to find this little sticker book.  Inside were facial features & other stickers. The size was just right to use with a robot kit we had found .The grandson was very happy with the whole gift.
 I'd read another review how these little sticker books were given out as birthday party favors. For the price it's a good deal & good product.",Robot themed gift for 6 yr old,1264809600,,{'Format:': ' Paperback'}
4,21,False,"12 2, 2008",A158E7P5QO99Z8,0486448789,John Lopez,"We had a robot themed first birthday party for our son, and had a really tough time finding little robot items for the guest thank-you bags. Stumbled upon this and took a chance. They were perfect! The book is small, maybe 4x6, and includes stickers of robot arms, legs, heads, etc. that the children can use to build a robot. They were a hit!","Great Party ""Thank You"" Bag Addition",1228176000,,{'Format:': ' Paperback'}
2,4,True,"07 10, 2007",A185NXJQ704COK,0486448789,Mountainlady,"I thought this would be much bigger.  It's more like a little stocking stuffer.  My kids were 5 and 9, and neither really took to the book.  I'd recommend it for even younger children.",tiny book,1184025600,,{'Format:': ' Paperback'}
1,,True,"08 16, 2015",A3O6CP5TT54LJE,0486448789,Gaby,"total waste of money. the stickers do not stick down even once
it is just a tiny amount of stickers which do not work, and that is basically it. I thought the backgrounds would make this special but it just is tiny and does not work.
much better to simply buy packs of stickers and use paper
the activity books in this series are better",save your money,1439683200,,{'Format:': ' Paperback'}
5,,True,"06 17, 2015",A216BPGO0ZBR5N,0486448789,jean,"Nephew, age 5 loved the booker.",age 5 loved the booker,1434499200,,{'Format:': ' Paperback'}
5,,True,"06 10, 2015",A3OJCR7TKQIPQM,0486448789,PQ,Very Cute!,Very Cute!,1433894400,,{'Format:': ' Paperback'}
2,,True,"06 1, 2015",AMDBW1NOR5ZP7,0486448789,Oggs,"The book is just stickers, it is NOT an activity book. Each sheet of sticker consist of the many pieces to create one robot and there are about four or five robots. So you could create one or multiple robots from the many sticker pieces in this book. There is only one page that doesn't have any stickers and if you are trying to make a robot from the stickers in the books you can only fit one robot in that page.

We thought the small size would be great for their little hands, but If you buy this as an activity book it just doesn't work and I would give it one star because there are no activities in it and your child will need a separate book to put all of the stickers.

If you buy this just for the stickers, they are fun but at $4.00 (current price on Amazon) it doesn't work either, four dollars is a lot of money for these stickers. At that price you are better off buying a sticker activity book from ""early learning"" or ""My Little World"" they are great little books.

I would not recommend this children's book by Dover Publications because of its high cost and very little content.",Just sticker at a premium,1433116800,,{'Format:': ' Paperback'}
1,,True,"04 19, 2015",A11B2ZTVBJ33A5,0486448789,joann mccormack,"My grandson loved this book, he is all about robots and how they work, fun ideas for him to share with a friend.",My grandson loved this book,1429401600,,{'Format:': ' Paperback'}
3,,False,"03 31, 2015",A2DSZOLDOG70GC,0486448789,Kalistah,"This is pretty much just an average sticker book.  It is cute, but didn't have as much variety as I had hoped.  For the price, it is worth it though, my son will enjoy making his own sticker robot.",This is pretty much just an average sticker book,1427760000,,{'Format:': ' Paperback'}
5,,True,"03 31, 2015",A2UYZHZA7U16BZ,0486448789,B. Bigart,"This is a great book to throw in your bag to have while waiting in line or at a restaurant with a small, alternately bored and energetic,person. My 3-year-old loves that she can put together robots using different parts and create her own or match the pieces to the picture on the back cover. This is a very small book -really a pamphlet almost - which is the best part actually.",This is a great book to throw in your bag to have while ...,1427760000,,{'Format:': ' Paperback'}
5,,True,"03 18, 2015",A1ZXYT6S1SZ087,0486448789,sandy lindquist,AGE APPROPIATE. G'SON LOVED,Five Stars,1426636800,,{'Format:': ' Paperback'}
4,,True,"03 16, 2015",A3K4NTIXV7Z559,0486448789,TexasVaughans,"its a cute little book, but it's a tiny little guy.",Tiny,1426464000,,{'Format:': ' Paperback'}
3,,True,"03 5, 2015",A3SHG02AS5DRSA,0486448789,The Stig,"This is a tiny book. Only a few pages of stickers. The stickers don't stick very well after the first time placing them. It did however entertain my son during a trip. Stickers for making 4 different robots, all different colors. I would suggest it for younger kids, my son is 3.","Worked for a trip, Only a few pages",1425513600,,{'Format:': ' Paperback'}
4,,True,"03 2, 2015",A1RCJMO8HR648A,0486448789,Ellen Rea,This was a gift; have not heard how it worked out.,Four Stars,1425254400,,{'Format:': ' Paperback'}
2,,True,"02 17, 2015",A1U19YWKMAXYO7,0486448789,SuchaGoodDeal,"Although $1.99 isn't much, it was disappointing to see this small booklet (4 pages) of stickers. Should have read details more closely.",Should be a buck at Dollar Store!,1424131200,,{'Format:': ' Paperback'}
2,,True,"02 15, 2015",A3EAVL6N8Q6MOA,0486448789,SharSteg,They were ok but not really considered it a book. Really small disappointed!,Really small disappointed!,1423958400,,{'Format:': ' Paperback'}
5,,True,"02 11, 2015",A3BVLVRFQNOM2R,0486448789,eyebanks,Great for kindergarten birthday goody bag.,Five Stars,1423612800,,{'Format:': ' Paperback'}
4,,True,"02 2, 2015",A1IJQ1P01VQD8E,0486448789,Sara,This book is very cute but make sure you look at the size it's very small don't anticipate anything large.,Small book,1422835200,,{'Format:': ' Paperback'}
5,,True,"01 30, 2015",A15UXQOOJ0TL8K,0486448789,Vitor Augusto Boschetti Barbieri,Good product,Five Stars,1422576000,,{'Format:': ' Paperback'}
5,,True,"01 29, 2015",A2S8YV63JSMREY,0486448789,Secret Rose,Great fun for my grandson who loves robots.,Five Stars,1422489600,,{'Format:': ' Paperback'}
5,,True,"01 29, 2015",AL3UBB9FK67Z9,0486448789,emilysometimes,My daughter loves these little books.  They're the perfect size to keep in the car or a diaper bag or purse.  I keep them on hand for times when we're stuck waiting in a doctor's office or anywhere else.,They're the perfect size to keep in the car or a diaper ...,1422489600,,{'Format:': ' Paperback'}
4,,True,"01 18, 2015",AI3JLLMYH16NZ,0486448789,Laura Snelson,This was a stocking stuffer for my son.  It was cute and he enjoyed using it a couple of times.  For the price of a little over a dollars didn't mind that he only used it a few times.  It is hard to tell from the picture but this is small.,It was cute and he enjoyed using it a couple of times,1421539200,,{'Format:': ' Paperback'}
4,,True,"12 10, 2014",A7RX7ZLYMRYOR,0486448789,HeroMom,Very fun on the plane for my 3 & 5 year olds.,Four Stars,1418169600,,{'Format:': ' Paperback'}
5,,True,"12 5, 2014",A2KBV1CL6U7CBV,0486448789,Debra S. Overfield,Fun gift,robot,1417737600,,{'Format:': ' Paperback'}
3,,True,"12 1, 2014",ARA6ZCG8TL49K,0486448789,C. Mellom,I was very surprised to see how tiny the book was.  I probably should have looked at the reviews or the description closer.  I guess it's a stocking stuffer now...,I was very surprised to see how tiny the book ...,1417392000,,{'Format:': ' Paperback'}
5,,True,"11 24, 2014",AS88XU0QRN79Z,0486448789,Kipperdale,I buy these books to insert in cards to send to my grandsons. They love them.,Lots of Fun for a small amount of money,1416787200,,{'Format:': ' Paperback'}
5,,True,"11 19, 2014",ARMU5CK7T1RZ9,0486448789,Olive,great book,Five Stars,1416355200,,{'Format:': ' Paperback'}
5,,True,"11 11, 2014",A3LDN8D925FPJF,0486448789,lee  eckhoff,Small book but great stickers,Five Stars,1415664000,,{'Format:': ' Paperback'}
